127.0.0.1 - - [27/Aug/2016:12:20:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/index.jsp HTTP/1.1" 200 10001
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/common/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 200 122544
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/common/common.js HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/index.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/header.js HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/css/index.css HTTP/1.1" 200 17363
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/common/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/common/basePath.js HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/common/jquery-1.9.1.min.js HTTP/1.1" 200 97360
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/js/common/cookie.js HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/newbanner.jpg HTTP/1.1" 200 137071
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/common/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/parallax-bg.jpg HTTP/1.1" 200 56450
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/header-1.jpg HTTP/1.1" 200 159436
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/dynamic2.gif HTTP/1.1" 200 204947
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/icon-update.png HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /myworld/baifu/image/rasp_bg.png HTTP/1.1" 200 695240
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:52 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:57 +0800] "GET /myworld/allArticle.jsp HTTP/1.1" 200 11383
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:57 +0800] "GET /myworld/baifu/js/allArticle.js HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:57 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:57 +0800] "POST /myworld/allArticleObj/loadArticleType.do HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:57 +0800] "POST /myworld/allArticleObj/findAllArticle.do HTTP/1.1" 200 478591
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:59 +0800] "GET /myworld/articleContents.jsp?noteId=eccdfad7-586b-4cff-8336-b75432f1aa77 HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:59 +0800] "GET /myworld/baifu/js/articleContents.js HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:59 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [27/Aug/2016:12:20:59 +0800] "POST /myworld/articleContent/selectContentsFun.do HTTP/1.1" 200 28923
