127.0.0.1 - - [04/Sep/2016:13:35:55 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:35:57 +0800] "GET /myworld/index.jsp HTTP/1.1" 200 10031
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:35:57 +0800] "GET /myworld/baifu/js/common/jquery.min.map HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:00 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:37 +0800] "GET /myworld/login.jsp?type=register HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:37 +0800] "GET /myworld/baifu/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:37 +0800] "GET /myworld/baifu/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:37 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:40 +0800] "GET /myworld/allArticle.jsp HTTP/1.1" 200 11379
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:40 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:40 +0800] "POST /myworld/allArticleObj/loadArticleType.do HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:40 +0800] "POST /myworld/allArticleObj/findAllArticle.do HTTP/1.1" 200 462802
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:43 +0800] "GET /myworld/articleContents.jsp?noteId=34c23a07-88aa-4153-9a97-7f4fc5bf4711 HTTP/1.1" 200 8736
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:43 +0800] "GET /myworld/baifu/js/articleContents.js HTTP/1.1" 200 12313
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:44 +0800] "POST /myworld/login/loadHeadTitleFun.do HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:44 +0800] "POST /myworld/comment/getComment.do HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:44 +0800] "POST /myworld/articleContent/selectContentsFun.do HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [04/Sep/2016:13:36:59 +0800] "POST /myworld/allArticleObj/findAllArticle.do HTTP/1.1" 200 10912
